Box Size (mm),Heatstake Count
5,19
Box Size (mm),Heatstake Count
6,19
Box Size (mm),Heatstake Count
7,20
Box Size (mm),Heatstake Count
8,21
Box Size (mm),Heatstake Count
9,22
Box Size (mm),Heatstake Count
10,22
Box Size (mm),Heatstake Count
11,22
Box Size (mm),Heatstake Count
12,22
Box Size (mm),Heatstake Count
13,15
Box Size (mm),Heatstake Count
14,11
Box Size (mm),Heatstake Count
15,12
Box Size (mm),Heatstake Count
16,9
Box Size (mm),Heatstake Count
17,9
Box Size (mm),Heatstake Count
18,10
Box Size (mm),Heatstake Count
19,9
Box Size (mm),Heatstake Count
20,9
Box Size (mm),Heatstake Count
21,5
