X,Y,Z
1565.1713262264484,-729.706372126897,1083.9012704030747
1271.6254938024454,-736.5090422963228,1269.130495784764
1779.5245936962806,-716.3244129347444,1220.2074639747734
2058.3467988375837,-725.083644778571,1378.4743543995646
1951.444008566156,-719.8547079181957,1212.4719438636455
2004.3123704504867,-725.349627969655,1193.7283837714049
1514.40470548578,-741.0437500000036,1119.9669091708772
1689.2361467175274,-721.1137499999998,1238.605930354713
1965.5961757701837,-727.9783301726138,1133.570867127109
1779.7533269079788,-734.1169135131944,1030.0978083237053
